,Rua,cidade,metragem,quartos,banheiros,vagas,bairro,preco_anuncio_float,apenas_rua
0,"Avenida Itacira, 255",São Paulo,1000,4,8,6,Planalto Paulista,7000000.0,avenida itacira
2,Rua Alba Valdez,São Paulo,125,4,3,2,Jardim Reimberg,380000.0,rua alba valdez
3,,São Paulo,310,3,2,4,Jardim Morumbi,685000.0,
4,"Rua Tobias Barreto, 195",São Paulo,100,3,2,2,Mooca,540000.0,rua tobias barreto
5,Rua Graham Bell,São Paulo,440,4,4,6,Santo Amaro,1980000.0,rua graham bell
6,"Rua Francisco Paulo, 31",São Paulo,145,4,4,2,Cidade Mãe do Céu,850000.0,rua francisco paulo
7,"Rua Guilherme Valente, 150",São Paulo,150,2,2,2,Jardim Vergueiro,450000.0,rua guilherme valente
9,Rua Tapaji,São Paulo,114,3,3,2,Vila Alpina,585000.0,rua tapaji
10,"Rua Vigário João Álvares, 66",São Paulo,261,4,4,3,Vila Monumento,700000.0,rua vigário joão álvares
11,,São Paulo,436,4,3,3,Jardim Luzitânia,15000.0,
12,"Rua Tuim, 449",São Paulo,193,3,3,2,Vila Uberabinha,2500000.0,rua tuim
13,"Rua Antônio Pereira Mendes, 98",São Paulo,251,3,5,4,Jardim Prudência,1700000.0,rua antônio pereira mendes
14,"Rua João Antunes Carvalho, 75",São Paulo,300,4,5,4,Lauzane Paulista,1150000.0,rua joão antunes carvalho
15,"Rua Rúben Dario Almonacid, 321",São Paulo,500,3,5,6,São Paulo II,1999000.0,rua rúben dario almonacid
16,Rua Timbé,São Paulo,135,3,3,2,Jardim Santa Maria,550000.0,rua timbé
17,Rua João Tauler,São Paulo,180,4,2,4,Vila Nova,420000.0,rua joão tauler
18,"Rua Alice Garcia Vega, 345",São Paulo,300,3,5,4,Itaberaba,2232000.0,rua alice garcia vega
19,"Rua Graham Bell, 332",São Paulo,772,7,7,6,Santo Amaro,2700000.0,rua graham bell
20,"Avenida Antônio Joaquim de Moura Andrade, 294",São Paulo,605,3,3,4,Vila Nova Conceição,4190000.0,avenida antônio joaquim de moura andrade
21,"Rua Marcos Fernandes, 1039",São Paulo,110,3,2,5,Jardim da Saúde,860000.0,rua marcos fernandes
23,"Rua José Leão dos Santos, 606",São Paulo,250,4,4,4,Jardim Santo Antônio,650000.0,rua josé leão dos santos
24,"Rua Jaime Pinto Ferreira, 93",São Paulo,120,2,1,1,Vila Mazzei,490000.0,rua jaime pinto ferreira
25,Rua Aldo de Azevedo,São Paulo,170,2,2,1,Vila Madalena,1485000.0,rua aldo de azevedo
